Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age Group,Promotion Gap,Early_Stage_Risk,Risk_Score,Predicted_Attrition
35,0,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,2426.0,16479,0,0,13,3,3,1,6,5,3,5,4,0,3,Senior/Management,5,0,0.12573007299565517,0
29,0,Travel_Rarely,153,Research & Development,15,2,Life Sciences,4,Female,49,2,2,Laboratory Technician,3,Single,4193.0,12682,0,1,12,3,4,0,10,3,3,9,5,0,8,Core Contributor,9,0,0.1141928454092244,0
31,0,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,2911.0,15170,1,0,17,3,4,1,5,1,2,5,2,4,3,Core Contributor,1,0,0.0940682321919293,0
34,0,Travel_Rarely,1346,Research & Development,19,2,Medical,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661.0,8758,0,0,11,3,3,1,3,2,3,2,2,1,2,Core Contributor,1,0,0.13312411874920213,0
28,1,Travel_Rarely,103,Research & Development,24,3,Life Sciences,3,Male,50,2,1,Laboratory Technician,3,Single,2028.0,12947,5,1,14,3,2,0,6,4,3,4,2,0,3,Core Contributor,4,0,0.7668277113382278,1
29,0,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980.0,10195,1,0,11,3,3,1,10,1,3,10,9,8,8,Core Contributor,2,0,0.13700908199874504,0
32,0,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,Male,80,4,1,Research Scientist,2,Divorced,3298.0,15053,0,1,12,3,4,2,7,5,2,6,2,0,5,Core Contributor,6,0,0.16847356110505474,0
22,0,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935.0,7324,1,1,13,3,2,2,1,2,2,1,0,0,0,Early Career,1,1,0.5958229809400697,1
53,0,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,Female,78,2,4,Manager,4,Married,15427.0,22021,2,0,16,3,3,0,31,3,3,25,8,3,7,Executive/Late Career,22,0,0.05197926163647273,0
38,0,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,Male,45,3,1,Research Scientist,4,Single,3944.0,4306,5,1,11,3,3,0,6,3,3,3,2,1,2,Senior/Management,2,0,0.1407019444322824,0
24,0,Non-Travel,673,Research & Development,11,2,Other,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011.0,8232,0,0,18,3,4,1,5,5,2,4,2,1,3,Early Career,3,0,0.0649183641550428,0
36,1,Travel_Rarely,1218,Sales,9,4,Life Sciences,3,Male,82,2,1,Sales Representative,1,Single,3407.0,6986,7,0,23,4,2,0,10,4,3,5,3,0,3,Senior/Management,5,0,0.6015474896343194,1
34,0,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,Female,53,3,3,Research Director,2,Single,11994.0,21293,0,0,11,3,3,0,13,4,3,12,6,2,11,Core Contributor,10,0,0.02044656509048669,0
21,0,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,96,3,1,Research Scientist,4,Single,1232.0,19281,1,0,14,3,4,0,0,6,3,0,0,0,0,Early Career,0,1,0.246038718427104,0
34,1,Travel_Rarely,699,Research & Development,6,1,Medical,2,Male,83,3,1,Research Scientist,1,Single,2960.0,17102,2,0,11,3,3,0,8,2,3,4,2,1,3,Core Contributor,3,0,0.2167862574658142,0
53,0,Travel_Rarely,1282,Research & Development,5,3,Other,3,Female,58,3,5,Manager,3,Divorced,19094.0,10735,4,0,11,3,4,1,26,3,2,14,13,4,8,Executive/Late Career,10,0,0.02479484996294816,0
32,1,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,2,Female,72,1,1,Research Scientist,1,Single,3919.0,4681,1,1,22,4,2,0,10,5,3,10,2,6,7,Core Contributor,4,0,0.749091600119301,1
42,0,Travel_Rarely,691,Sales,8,4,Marketing,3,Male,48,3,2,Sales Executive,2,Married,6825.0,21173,0,0,11,3,4,1,10,2,3,9,7,4,2,Senior/Management,5,0,0.16790306116310924,0
44,0,Travel_Rarely,477,Research & Development,7,4,Medical,1,Female,42,2,3,Healthcare Representative,4,Married,10248.0,2094,3,0,14,3,4,1,24,4,3,22,6,5,17,Senior/Management,17,0,0.020173331050894278,0
46,0,Travel_Rarely,705,Sales,2,4,Marketing,2,Female,83,3,5,Manager,1,Single,18947.0,22822,3,0,12,3,4,0,22,2,2,2,2,2,1,Executive/Late Career,0,0,0.048664352007024875,0
33,0,Travel_Rarely,924,Research & Development,2,3,Medical,3,Male,78,3,1,Laboratory Technician,4,Single,2496.0,6670,4,0,11,3,4,0,7,3,3,1,1,0,0,Core Contributor,1,1,0.26940008595223786,0
44,0,Travel_Rarely,1459,Research & Development,10,4,Other,4,Male,41,3,2,Healthcare Representative,4,Married,6465.0,19121,2,1,13,3,4,0,9,5,4,4,2,1,3,Senior/Management,3,0,0.035904047401675264,0
30,0,Travel_Rarely,125,Research & Development,9,2,Medical,4,Male,83,2,1,Laboratory Technician,3,Single,2206.0,16117,1,0,13,3,1,0,10,5,3,10,0,1,8,Core Contributor,9,1,0.11548513261127619,0
39,1,Travel_Rarely,895,Sales,5,3,Technical Degree,4,Male,56,3,2,Sales Representative,4,Married,2086.0,3335,3,0,14,3,3,1,19,6,4,1,0,0,0,Senior/Management,1,1,0.6835833759530772,1
24,1,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,2293.0,3020,2,1,16,3,1,1,6,2,2,2,0,2,0,Early Career,0,1,0.7422920332982453,1
43,0,Travel_Rarely,1273,Research & Development,2,2,Medical,4,Female,72,4,1,Research Scientist,3,Divorced,2645.0,21923,1,0,12,3,4,2,6,3,2,5,3,1,4,Senior/Management,4,0,0.048223601484057424,0
50,1,Travel_Rarely,869,Sales,3,2,Marketing,1,Male,86,2,1,Sales Representative,3,Married,2683.0,3810,1,1,14,3,3,0,3,2,3,3,2,0,2,Executive/Late Career,3,0,0.26884490223712443,0
35,0,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,97,3,1,Sales Representative,4,Married,2014.0,9687,1,0,13,3,1,0,2,3,3,2,2,2,2,Senior/Management,0,0,0.11652477384011459,0
36,0,Travel_Rarely,852,Research & Development,5,4,Life Sciences,2,Female,82,2,1,Research Scientist,1,Married,3419.0,13072,9,1,14,3,4,1,6,3,4,1,1,0,0,Senior/Management,1,1,0.11685940547242896,0
33,0,Travel_Frequently,1141,Sales,1,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,5376.0,3193,2,0,19,3,1,2,10,3,3,5,3,1,3,Core Contributor,4,0,0.08771773378226466,0
35,0,Travel_Rarely,464,Research & Development,4,2,Other,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951.0,10910,1,0,12,3,3,1,1,3,3,1,0,0,0,Senior/Management,1,1,0.13625692183587165,0
27,0,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341.0,19715,1,0,13,3,4,1,1,6,3,1,0,0,0,Core Contributor,1,1,0.468814578557486,1
26,1,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,2293.0,10558,1,0,12,3,3,0,1,2,2,1,0,0,1,Core Contributor,1,1,0.8211213146062986,1
27,0,Travel_Frequently,994,Sales,8,3,Life Sciences,4,Male,37,3,3,Sales Executive,3,Single,8726.0,2975,1,0,15,3,4,0,9,0,3,9,8,1,7,Core Contributor,8,0,0.12359949436993832,0
30,0,Travel_Frequently,721,Research & Development,1,2,Medical,3,Female,58,3,2,Laboratory Technician,4,Single,4011.0,10781,1,0,23,4,4,0,12,2,3,12,8,3,7,Core Contributor,9,0,0.06759793066931473,0
41,1,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,19545.0,16280,1,0,12,3,4,0,23,0,3,22,15,15,8,Senior/Management,7,0,0.05023174672484141,0
34,0,Non-Travel,1065,Sales,23,4,Marketing,2,Male,72,3,2,Sales Executive,3,Single,4568.0,10034,0,0,20,4,3,0,10,2,3,9,5,8,7,Core Contributor,1,0,0.20228205507000446,0
37,0,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,3022.0,10227,4,0,21,4,1,0,8,1,3,1,0,0,0,Senior/Management,1,1,0.12914885091670256,0
46,0,Travel_Frequently,1211,Sales,5,4,Marketing,1,Male,98,3,2,Sales Executive,4,Single,5772.0,20445,4,1,21,4,3,0,14,4,3,9,6,0,8,Executive/Late Career,9,0,0.1348487208465116,0
35,0,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,2269.0,4892,1,0,19,3,4,0,1,2,3,1,0,0,1,Senior/Management,1,1,0.1197377053136767,0
48,1,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,Male,98,2,3,Laboratory Technician,3,Single,5381.0,19294,9,1,13,3,4,0,23,2,3,1,0,0,0,Executive/Late Career,1,1,0.720268961010642,1
28,1,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,3,Male,50,3,1,Laboratory Technician,3,Single,3441.0,11179,1,1,13,3,3,0,2,3,2,2,2,2,2,Core Contributor,0,0,0.7485849269693388,1
44,0,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,5454.0,4009,5,1,21,4,3,1,9,2,2,4,3,1,3,Senior/Management,3,0,0.11191562463513453,0
35,0,Non-Travel,1097,Research & Development,11,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,9884.0,8302,2,1,13,3,3,1,10,3,3,4,0,2,3,Senior/Management,2,1,0.22076755624503228,0
26,0,Travel_Rarely,1443,Sales,23,3,Marketing,3,Female,47,2,2,Sales Executive,4,Married,4157.0,21436,7,1,19,3,3,1,5,2,2,2,2,0,0,Core Contributor,2,0,0.24157322337090067,0
33,0,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,Female,98,3,3,Research Director,4,Single,13458.0,15146,1,1,12,3,3,0,15,1,3,15,14,8,12,Core Contributor,7,0,0.09078955555699941,0
35,0,Travel_Frequently,853,Sales,18,5,Life Sciences,2,Male,71,3,3,Sales Executive,1,Married,9069.0,11031,1,0,22,4,4,1,9,3,2,9,8,1,8,Senior/Management,8,0,0.10948586353535349,0
35,0,Travel_Rarely,1142,Research & Development,23,4,Medical,3,Female,30,3,1,Laboratory Technician,1,Married,4014.0,16002,3,1,15,3,3,1,4,3,3,2,2,2,2,Senior/Management,0,0,0.14375836484004428,0
31,0,Travel_Rarely,655,Research & Development,7,4,Life Sciences,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915.0,9528,3,0,22,4,4,1,10,3,2,7,7,1,7,Core Contributor,6,0,0.06691799505057461,0
37,0,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993.0,2689,1,0,18,3,3,1,7,2,4,7,5,0,7,Senior/Management,7,0,0.06079343299535447,0
32,0,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,6162.0,10877,1,1,22,4,2,1,9,3,3,9,8,7,8,Core Contributor,2,0,0.06249755838291173,0
38,0,Travel_Frequently,653,Research & Development,29,5,Life Sciences,4,Female,50,3,2,Laboratory Technician,4,Single,2406.0,5456,1,0,11,3,4,0,10,2,3,10,3,9,9,Senior/Management,1,0,0.06504854126093403,0
50,0,Travel_Rarely,989,Research & Development,7,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,18740.0,16701,5,1,12,3,4,1,29,2,2,27,3,13,8,Executive/Late Career,14,0,0.060735743209879726,0
59,0,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,Female,99,3,3,Sales Executive,1,Single,7637.0,2354,7,0,11,3,4,0,28,3,2,21,16,7,9,Executive/Late Career,14,0,0.07806199708483273,0
36,0,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096.0,8202,1,0,13,3,2,3,17,2,3,17,14,12,8,Senior/Management,5,0,0.04329362619444801,0
55,0,Travel_Rarely,836,Research & Development,8,3,Medical,4,Female,33,3,4,Manager,3,Divorced,14756.0,19730,2,1,14,3,3,3,21,2,3,5,0,0,2,Executive/Late Career,5,1,0.0364978064268193,0
36,0,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,2,Male,95,2,2,Manufacturing Director,2,Single,6499.0,22656,1,0,13,3,3,0,6,3,3,6,5,0,3,Senior/Management,6,0,0.1355094874416919,0
45,0,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,2,Male,59,3,3,Research Scientist,1,Divorced,9724.0,18787,2,0,17,3,3,1,25,2,3,1,0,0,0,Executive/Late Career,1,1,0.043368705983367194,0
35,0,Travel_Frequently,664,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,2194.0,5868,4,0,13,3,4,1,5,2,2,3,2,1,2,Senior/Management,2,0,0.13847526980853253,0
36,1,Travel_Rarely,318,Research & Development,9,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,3388.0,21777,0,1,17,3,1,1,2,0,2,1,0,0,0,Senior/Management,1,1,0.2658485725476023,0
59,0,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,Female,57,2,2,Sales Executive,3,Single,5473.0,24668,7,0,11,3,4,0,20,2,2,4,3,1,3,Executive/Late Career,3,0,0.15435314541544357,0
29,0,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,3,Male,76,3,1,Research Scientist,2,Married,2703.0,4956,0,0,23,4,4,1,6,3,3,5,4,0,4,Core Contributor,5,0,0.06646865494785369,0
31,0,Travel_Rarely,1082,Research & Development,1,4,Medical,3,Male,87,3,1,Research Scientist,2,Single,2501.0,18775,1,0,17,3,2,0,1,4,3,1,1,1,0,Core Contributor,0,1,0.23788237027248338,0
32,0,Travel_Rarely,548,Research & Development,1,3,Life Sciences,2,Male,66,3,2,Research Scientist,2,Married,6220.0,7346,1,0,17,3,2,2,10,3,3,10,4,0,9,Core Contributor,10,0,0.035876762371307526,0
36,0,Travel_Rarely,132,Research & Development,6,3,Life Sciences,2,Female,55,4,1,Laboratory Technician,4,Married,3038.0,22002,3,0,12,3,2,0,5,3,3,1,0,0,0,Senior/Management,1,1,0.1505736628754901,0
31,0,Travel_Rarely,746,Research & Development,8,4,Life Sciences,3,Female,61,3,2,Manufacturing Director,4,Single,4424.0,20682,1,0,23,4,4,0,11,2,3,11,7,1,8,Core Contributor,10,0,0.06652373597310021,0
35,0,Travel_Rarely,776,Sales,1,4,Marketing,3,Male,32,2,2,Sales Executive,1,Single,4312.0,23016,0,0,14,3,2,0,16,2,3,15,13,2,8,Senior/Management,13,0,0.029507204688075404,0
45,0,Travel_Rarely,193,Research & Development,6,4,Other,4,Male,52,3,3,Research Director,1,Married,13245.0,15067,4,1,14,3,2,0,17,3,4,0,0,0,0,Executive/Late Career,0,1,0.05801109517921902,0
37,0,Travel_Rarely,397,Research & Development,7,4,Medical,1,Male,30,3,3,Research Director,3,Single,13664.0,25258,4,0,13,3,1,0,16,3,4,5,2,0,2,Senior/Management,5,0,0.09155373761017836,0
46,0,Travel_Rarely,945,Human Resources,5,2,Medical,2,Male,80,3,2,Human Resources,2,Divorced,5021.0,10425,8,1,22,4,4,1,16,2,3,4,2,0,2,Executive/Late Career,4,0,0.11329391160915624,0
30,0,Travel_Rarely,852,Research & Development,1,1,Life Sciences,4,Male,55,2,2,Laboratory Technician,4,Married,5126.0,15998,1,1,12,3,3,2,10,1,2,10,8,3,0,Core Contributor,7,0,0.08901702854836044,0
35,0,Travel_Rarely,1214,Research & Development,1,3,Medical,2,Male,30,2,1,Research Scientist,3,Single,2859.0,26278,1,0,18,3,1,0,6,3,3,6,4,0,4,Senior/Management,6,0,0.04303150606392207,0
55,0,Travel_Rarely,111,Sales,1,2,Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,10239.0,18092,3,0,14,3,4,1,24,4,3,1,0,1,0,Executive/Late Career,0,1,0.09420454016311647,0
38,0,Non-Travel,573,Research & Development,6,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,5329.0,15717,7,1,12,3,4,3,17,3,3,13,11,1,9,Senior/Management,12,0,0.04514150540799228,0
34,0,Travel_Rarely,1153,Research & Development,1,2,Medical,1,Male,94,3,2,Manufacturing Director,2,Married,4325.0,17736,1,0,15,3,3,0,5,2,3,5,2,1,3,Core Contributor,4,0,0.06257780553409602,0
56,0,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,4,Male,49,1,3,Manufacturing Director,4,Single,7260.0,21698,4,0,11,3,1,0,37,3,2,6,4,0,2,Executive/Late Career,6,0,0.07677165793409445,0
23,0,Travel_Rarely,541,Sales,2,1,Technical Degree,3,Male,62,3,1,Sales Representative,1,Divorced,2322.0,9518,3,0,13,3,3,1,3,3,3,0,0,0,0,Early Career,0,1,0.27921773145697537,0
51,0,Travel_Rarely,432,Research & Development,9,4,Life Sciences,4,Male,96,3,1,Laboratory Technician,4,Married,2075.0,18725,3,0,23,4,2,2,10,4,3,4,2,0,3,Executive/Late Career,4,0,0.07420707316343324,0
30,0,Travel_Rarely,288,Research & Development,2,3,Life Sciences,3,Male,99,2,2,Healthcare Representative,4,Married,4152.0,15830,1,0,19,3,1,3,11,3,3,11,10,10,8,Core Contributor,1,0,0.09653738163694892,0
46,1,Travel_Rarely,669,Sales,9,2,Medical,3,Male,64,2,3,Sales Executive,4,Single,9619.0,13596,1,0,16,3,4,0,9,3,3,9,8,4,7,Executive/Late Career,5,0,0.6037188955321026,1
40,0,Travel_Frequently,530,Research & Development,1,4,Life Sciences,3,Male,78,2,4,Healthcare Representative,2,Married,13503.0,14115,1,0,22,4,4,1,22,3,2,22,3,11,11,Senior/Management,11,0,0.058760759507054,0
51,0,Travel_Rarely,632,Sales,21,4,Marketing,3,Male,71,3,2,Sales Executive,4,Single,5441.0,8423,0,1,22,4,4,0,11,2,1,10,7,1,0,Executive/Late Career,9,0,0.21577667273847678,0
30,0,Travel_Rarely,1334,Sales,4,2,Medical,3,Female,63,2,2,Sales Executive,2,Divorced,5209.0,19760,1,1,12,3,2,3,11,4,2,11,8,2,7,Core Contributor,9,0,0.032961612098326154,0
46,0,Travel_Frequently,638,Research & Development,1,3,Medical,3,Male,40,2,3,Healthcare Representative,1,Married,10673.0,3142,2,1,13,3,3,1,21,5,2,10,9,9,5,Executive/Late Career,1,0,0.07369207405723278,0
32,0,Travel_Rarely,1093,Sales,6,4,Medical,2,Male,87,3,2,Sales Executive,3,Single,5010.0,24301,1,0,16,3,1,0,12,0,3,11,8,5,7,Core Contributor,6,0,0.12405598683991523,0
54,0,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,Female,60,3,3,Research Director,3,Married,13549.0,24001,9,0,12,3,1,1,16,5,1,4,3,0,3,Executive/Late Career,4,0,0.03016510968809353,0
24,0,Travel_Rarely,1353,Sales,3,2,Other,1,Female,33,3,2,Sales Executive,3,Married,4999.0,17519,0,0,21,4,1,1,4,2,2,3,2,0,2,Early Career,3,0,0.1171711711737564,0
28,0,Non-Travel,120,Sales,4,3,Medical,2,Male,43,3,2,Sales Executive,3,Married,4221.0,8863,1,0,15,3,2,0,5,3,4,5,4,0,4,Core Contributor,5,0,0.05739071804758555,0
58,0,Travel_Rarely,682,Sales,10,4,Medical,4,Male,37,3,4,Sales Executive,3,Single,13872.0,24409,0,0,13,3,3,0,38,1,2,37,10,1,8,Executive/Late Career,36,0,0.06002776272330463,0
44,0,Non-Travel,489,Research & Development,23,3,Medical,2,Male,67,3,2,Laboratory Technician,2,Married,2042.0,25043,4,0,12,3,3,1,17,3,4,3,2,1,2,Senior/Management,2,0,0.11384559727345167,0
37,1,Travel_Rarely,807,Human Resources,6,4,Human Resources,3,Male,63,3,1,Human Resources,1,Divorced,2073.0,23648,4,1,22,4,4,0,7,3,3,3,2,0,2,Senior/Management,3,0,0.7269451665187845,1
32,0,Travel_Rarely,827,Research & Development,1,1,Life Sciences,4,Male,71,3,1,Research Scientist,1,Single,2956.0,15178,1,0,13,3,4,0,1,2,3,1,0,0,0,Core Contributor,1,1,0.22343231527440927,0
20,1,Travel_Frequently,871,Research & Development,6,3,Life Sciences,4,Female,66,2,1,Laboratory Technician,4,Single,2926.0,19783,1,1,18,3,2,0,1,5,3,1,0,1,0,Early Career,0,1,0.9046184428384584,1
34,0,Travel_Rarely,665,Research & Development,6,4,Other,1,Female,41,3,2,Research Scientist,3,Single,4809.0,12482,1,0,14,3,3,0,16,3,3,16,13,2,10,Core Contributor,14,0,0.04210532652091122,0
37,0,Non-Travel,1040,Research & Development,2,2,Life Sciences,3,Male,100,2,2,Healthcare Representative,4,Divorced,5163.0,15850,5,0,14,3,4,1,17,2,4,1,0,0,0,Senior/Management,1,1,0.20339372127040317,0
59,0,Non-Travel,1420,Human Resources,2,4,Human Resources,3,Female,32,2,5,Manager,4,Married,18844.0,21922,9,0,21,4,4,1,30,3,3,3,2,2,2,Executive/Late Career,1,0,0.05071987811888906,0
50,0,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,Female,73,3,5,Research Director,2,Married,18172.0,9755,3,1,19,3,1,0,28,1,2,8,3,0,7,Executive/Late Career,8,0,0.0368621851690983,0
25,1,Travel_Rarely,240,Sales,5,3,Marketing,3,Male,46,2,2,Sales Executive,3,Single,5744.0,26959,1,1,11,3,4,0,6,1,3,6,4,0,3,Core Contributor,6,0,0.7073923012871072,1
25,0,Travel_Rarely,1280,Research & Development,7,1,Medical,4,Male,64,2,1,Research Scientist,4,Married,2889.0,26897,1,0,11,3,3,2,2,2,3,2,2,2,1,Core Contributor,0,0,0.061275437183502326,0
22,0,Travel_Rarely,534,Research & Development,15,3,Medical,2,Female,59,3,1,Laboratory Technician,4,Single,2871.0,23785,1,0,15,3,3,0,1,5,3,0,0,0,0,Early Career,0,1,0.7133214426044584,1
51,0,Travel_Frequently,1456,Research & Development,1,4,Medical,1,Female,30,2,3,Healthcare Representative,1,Single,7484.0,25796,3,0,20,4,3,0,23,1,2,13,12,12,8,Executive/Late Career,1,0,0.08695306912003563,0
34,1,Travel_Frequently,658,Research & Development,7,3,Life Sciences,1,Male,66,1,2,Laboratory Technician,3,Single,6074.0,22887,1,1,24,4,4,0,9,3,3,9,7,0,6,Core Contributor,9,0,0.6360203463974802,1
54,0,Non-Travel,142,Human Resources,26,3,Human Resources,4,Female,30,4,4,Manager,4,Single,17328.0,13871,2,1,12,3,3,0,23,3,3,5,3,4,4,Executive/Late Career,1,0,0.09485749163506069,0
24,0,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,2,Male,52,3,1,Laboratory Technician,3,Married,2774.0,13257,0,0,12,3,3,1,6,2,3,5,3,1,2,Early Career,4,0,0.0809964642575353,0
34,0,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,3,Female,45,2,2,Research Scientist,2,Divorced,4505.0,15000,6,0,15,3,3,1,12,3,3,1,0,0,0,Core Contributor,1,1,0.16093749219904072,0
37,0,Travel_Rarely,1189,Sales,3,3,Life Sciences,3,Male,87,3,3,Sales Executive,4,Single,7428.0,14506,2,0,12,3,1,0,12,3,3,5,3,1,3,Senior/Management,4,0,0.09244460329608126,0
34,0,Travel_Rarely,1354,Research & Development,5,3,Medical,3,Female,45,2,3,Manager,1,Single,11631.0,5615,2,0,12,3,4,0,14,6,3,11,10,5,8,Core Contributor,6,0,0.06122048667644969,0
36,0,Travel_Frequently,1467,Sales,11,2,Technical Degree,2,Female,92,3,3,Sales Executive,4,Married,9738.0,22952,0,0,14,3,3,1,10,6,3,9,7,2,8,Senior/Management,7,0,0.08539234052999513,0
36,0,Travel_Rarely,922,Research & Development,3,2,Life Sciences,1,Female,39,3,1,Laboratory Technician,4,Divorced,2835.0,2561,5,0,22,4,1,1,7,2,3,1,0,0,0,Senior/Management,1,1,0.1332186500626529,0
43,0,Travel_Frequently,394,Sales,26,2,Life Sciences,3,Male,92,3,4,Manager,4,Married,16959.0,19494,1,1,12,3,4,2,25,3,4,25,12,4,12,Senior/Management,21,0,0.06397888742359926,0
30,0,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,1,Male,96,1,1,Research Scientist,3,Divorced,2613.0,22310,1,0,25,4,3,3,10,2,2,10,7,0,9,Core Contributor,10,0,0.10323038761023115,0
